team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Lucknow Super Giants,Shahbaz Ahmed,False,all_rounder,65.0,1264.0,1033.5,79.5,58.6,54.25,32.9,3.6,14.9,19.3,13.0,4.0,0.0,0.0,437.0,562.0,15.0,174.0,0.0,14.0,1.0,8.0,3.0,2.0,0.0,0.0,0.0,19.0,0.0,6.0,3.0
Mumbai Indians,Ashwani Kumar,False,bowler,27.4,9.0,11.0,2.0,0.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,552.6,814.0,35.2,182.0,0.0,36.5,4.3,4.0,9.3,3.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0
Mumbai Indians,Mayank Rawat,False,all_rounder,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Indians,Naman Dhir,False,all_rounder,13.0,254.1,139.8,25.3,13.0,12.25,8.3,1.0,1.0,4.0,1.0,0.0,0.0,0.0,34.8,45.9,0.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0
Punjab Kings,Harpreet Brar,False,all_rounder,8.6,14.0,14.2,0.0,1.3,2.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,169.8,244.3,13.6,40.0,0.3,1.9,1.0,3.0,4.2,1.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Punjab Kings,Prabhsimran Singh,False,wicketkeeper,41.6,746.6,461.2,73.2,38.9,24.75,20.9,1.0,5.0,12.0,7.0,4.0,3.0,0.0,428.0,473.0,25.0,207.0,1.0,42.0,0.0,9.0,6.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0
Punjab Kings,Shashank Singh,False,batter,14.8,353.3,234.3,23.0,18.0,14.75,7.9,0.3,4.6,6.0,4.0,1.0,0.0,0.0,15.6,32.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0
Punjab Kings,Suryansh Shedge,False,all_rounder,3.8,13.9,16.4,0.3,0.3,3.5,3.6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.2,48.7,0.0,1.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Punjab Kings,Vishnu Vinod,False,wicketkeeper,9.4,223.7,200.3,18.3,6.6,8.5,7.3,0.0,1.0,4.0,1.0,0.0,0.0,0.0,115.0,164.0,7.0,52.0,1.0,6.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,2.0
Punjab Kings,Yash Thakur,False,bowler,3.0,0.0,1.5,0.0,0.0,0.5,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,58.5,102.1,3.1,10.0,0.0,3.9,1.3,0.0,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan Royals,Aman Rao,False,batter,3.6,58.0,37.1,6.3,3.3,3.0,3.1,0.0,1.0,0.6,0.6,0.0,0.0,0.0,30.0,53.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rajasthan Royals,Ravi Bishnoi,False,bowler,18.8,44.4,41.0,5.2,2.0,6.5,3.3,2.0,3.3,0.3,0.0,0.0,0.0,0.0,382.2,616.5,18.2,124.0,0.0,14.6,0.3,4.0,5.6,1.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0
Rajasthan Royals,Ravi Singh,False,bowler,0.6,29.1,18.0,1.8,2.1,0.75,0.6,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Challengers Bengaluru,Mangesh Yadav,False,bowler,8.2,84.0,94.0,5.0,2.0,6.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,71.4,130.4,4.6,24.0,0.0,5.9,0.0,3.0,2.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Royal Challengers Bengaluru,Rasikh Salam,False,bowler,2.6,0.6,0.9,0.0,0.0,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,39.6,76.3,1.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Royal Challengers Bengaluru,Suyash Sharma,False,bowler,37.0,37.0,26.0,0.0,3.0,7.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,803.2,1105.3,38.4,256.0,0.0,36.9,1.0,14.0,9.9,4.3,1.0,0.0,0.0,6.0,0.0,3.0,0.0
Royal Challengers Bengaluru,Swapnil Singh,False,all_rounder,19.4,105.4,154.4,9.0,0.3,13.5,11.6,4.0,8.3,2.0,0.0,0.0,0.0,0.0,166.8,245.4,6.7,57.0,1.0,2.9,1.0,0.0,2.9,0.6,0.0,0.0,0.0,9.0,0.0,2.0,1.0
Sunrisers Hyderabad,Abhishek Sharma,False,all_rounder,49.2,1624.0,835.4,163.6,105.0,47.5,45.6,6.0,9.3,25.0,14.0,10.0,3.0,2.0,154.8,247.0,5.8,39.0,0.0,2.9,0.3,0.0,1.6,0.3,0.0,0.0,0.0,25.0,0.0,0.0,5.0
Sunrisers Hyderabad,Amit Kumar,False,batter,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,15.0,0.9,0.0,0.0,0.9,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunrisers Hyderabad,Ishan Kishan,False,wicketkeeper,27.2,963.4,527.7,97.0,53.5,27.5,24.5,2.0,6.0,14.2,8.6,6.3,3.3,2.3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,3.0,3.0
Sunrisers Hyderabad,R. Smaran,False,batter,0.8,65.1,39.6,3.6,3.6,1.0,0.9,0.0,0.0,1.2,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunrisers Hyderabad,Sakib Hussain,False,bowler,31.8,347.3,329.0,21.6,18.0,19.25,12.0,2.0,7.0,7.0,2.0,1.0,0.0,0.0,521.9,695.1,23.6,176.0,0.0,31.6,3.3,5.0,7.0,3.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0
Sunrisers Hyderabad,Shivam Mavi,False,bowler,1.2,3.0,4.2,0.0,0.3,0.25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,39.6,0.6,0.0,0.0,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunrisers Hyderabad,Shivang Kumar,False,batter,4.8,5.0,26.0,0.0,0.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,63.9,111.4,2.2,7.0,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
