team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Chennai Super Kings,Khaleel Ahmed,False,bowler,52.0,406.0,332.0,31.0,18.0,27.0,21.0,5.0,9.0,8.0,2.0,1.0,0.0,0.0,753.0,1111.0,44.0,302.0,1.0,25.0,8.0,6.0,12.0,5.0,3.0,0.0,0.0,26.0,2.0,11.0,6.0
Chennai Super Kings,Anshul Kamboj,False,bowler,8.0,14.0,12.0,2.0,0.0,5.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,129.0,172.0,8.0,55.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chennai Super Kings,Gurjapneet Singh,False,bowler,17.8,202.0,231.5,14.0,2.0,12.25,11.0,0.0,6.0,3.0,2.0,1.0,0.0,0.0,356.4,474.4,11.9,152.0,2.0,12.9,1.0,2.0,3.3,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Chennai Super Kings,Shreyas Gopal,False,all_rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Mukesh Choudhary,False,bowler,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,71.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Nathan Ellis,True,bowler,33.0,94.0,82.0,8.0,4.0,13.0,5.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,701.0,982.0,47.0,235.0,1.0,30.0,5.0,14.0,14.0,7.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0
Mumbai Indians,Quinton de Kock,True,wicketkeeper,65.0,1734.0,1220.0,150.0,93.0,65.0,63.0,6.0,17.0,24.0,18.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,4.0,9.0,14.0
Mumbai Indians,Mohammad Izhar,False,batter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Indians,Danish Malewar,False,batter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Indians,Atharva Ankolekar,False,all_rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
