team,player,is_overseas
Gujarat Titans,Manav Suthar,False
Gujarat Titans,Sai Kishore,False
Gujarat Titans,Jayant Yadav,False
Gujarat Titans,Glenn Phillips,True
Rajasthan Royals,Ravi Bishnoi,False
Rajasthan Royals,Ravi Singh,False
Rajasthan Royals,Sushant Mishra,False
Rajasthan Royals,Vignesh Puthur,False
Rajasthan Royals,Yash Raj Punja,False
Rajasthan Royals,Aman Rao,False
Rajasthan Royals,Brijesh Sharma,False
Rajasthan Royals,Kuldeep Sen,False
Rajasthan Royals,Adam Milne,True
Rajasthan Royals,Ravindra Jadeja,False
Rajasthan Royals,Sam Curran,False
Rajasthan Royals,Shubham Dubey,False
Rajasthan Royals,Vaibhav Suryavanshi,False
Rajasthan Royals,Lhuan-Dre Pretorius,False
Rajasthan Royals,Shimron Hetmyer,True
Rajasthan Royals,Yashasvi Jaiswal,False
Rajasthan Royals,Dhruv Jurel,False
Rajasthan Royals,Riyan Parag,False
Rajasthan Royals,Yudhvir Singh Charak,False
Rajasthan Royals,Jofra Archer,True
Rajasthan Royals,Tushar Deshpande,False
Rajasthan Royals,Kwena Maphaka,False
Rajasthan Royals,Nandre Burger,False
Sunrisers Hyderabad,Salil Arora,False
Sunrisers Hyderabad,Shivang Kumar,False
Sunrisers Hyderabad,Sakib Hussain,False
Sunrisers Hyderabad,Onkar Tarmale,False
Sunrisers Hyderabad,Krains Fuletra,False
Sunrisers Hyderabad,Praful Hinge,False
Sunrisers Hyderabad,Amit Kumar,False
Sunrisers Hyderabad,Shivam Mavi,False
Sunrisers Hyderabad,Liam Livingstone,True
Sunrisers Hyderabad,Jack Edwards,True
Sunrisers Hyderabad,Pat Cummins,True
Sunrisers Hyderabad,Travis Head,True
Sunrisers Hyderabad,Abhishek Sharma,False
Sunrisers Hyderabad,Aniket Verma,False
Sunrisers Hyderabad,R. Smaran,False
Sunrisers Hyderabad,Ishan Kishan,False
Sunrisers Hyderabad,Heinrich Klaasen,True
Sunrisers Hyderabad,Nitish Kumar Reddy,False
Sunrisers Hyderabad,Harsh Dubey,False
Sunrisers Hyderabad,Kamindu Mendis,True
Sunrisers Hyderabad,Harshal Patel,False
Sunrisers Hyderabad,Brydon Carse,True
Sunrisers Hyderabad,Jaydev Unadkat,False
Sunrisers Hyderabad,Eshan Malinga,True
Sunrisers Hyderabad,Zeeshan Ansari,False
Lucknow Super Giants,Josh Inglis,True
Lucknow Super Giants,Mukul Choudhary,False
Lucknow Super Giants,Akshat Raghuwanshi,False
Lucknow Super Giants,Anrich Nortje,True
Lucknow Super Giants,Wanindu Hasaranga,True
Lucknow Super Giants,Naman Tiwari,False
Lucknow Super Giants,Mohammed Shami,False
Lucknow Super Giants,Arjun Tendulkar,False
Lucknow Super Giants,Abdul Samad,False
Lucknow Super Giants,Ayush Badoni,False
Lucknow Super Giants,Aiden Markram,False
Lucknow Super Giants,Matthew Breetzke,False
Lucknow Super Giants,Himmat Singh,False
Lucknow Super Giants,Rishabh Pant,False
Lucknow Super Giants,Nicholas Pooran,True
Lucknow Super Giants,Mitchell Marsh,True
Lucknow Super Giants,Shahbaz Ahmed,False
Lucknow Super Giants,Arshin Kulkarni,False
Lucknow Super Giants,Mayank Yadav,False
Lucknow Super Giants,Avesh Khan,False
Lucknow Super Giants,Mohsin Khan,False
Lucknow Super Giants,Manimaran Siddharth,False
Lucknow Super Giants,Digvesh Rathi,False
Lucknow Super Giants,Prince Yadav,False
Lucknow Super Giants,Akash Singh,False
Delhi Capitals,Auqib Nabi Dar,False
Delhi Capitals,Pathum Nissanka,True
Delhi Capitals,Ben Duckett,True
Delhi Capitals,David Miller,True
Delhi Capitals,Lungi Ngidi,True
Delhi Capitals,Sahil Parakh,False
Delhi Capitals,Prithvi Shaw,False
Delhi Capitals,Kyle Jamieson,True
Delhi Capitals,Nitish Rana,False
Delhi Capitals,Axar Patel,False
Delhi Capitals,KL Rahul,False
Delhi Capitals,Abishek Porel,False
Delhi Capitals,Tristan Stubbs,False
Delhi Capitals,Karun Nair,False
Delhi Capitals,Sameer Rizvi,False
Delhi Capitals,Ashutosh Sharma,False
Delhi Capitals,Vipraj Nigam,False
Delhi Capitals,Madhav Tiwari,False
Delhi Capitals,Tripurana Vijay,False
Delhi Capitals,Ajay Mandal,False
Delhi Capitals,Kuldeep Yadav,False
Delhi Capitals,Mitchell Starc,True
Delhi Capitals,T. Natarajan,False
Delhi Capitals,Mukesh Kumar,False
Delhi Capitals,Dushmantha Chameera,True
